City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.48,86,100,27.83,TF,1690335527
1,carnarvon,-24.8667,113.6333,64.53,54,60,16.84,AU,1690335527
2,irymple,-34.25,142.1667,62.1,77,0,1.01,AU,1690335528
3,toma,12.7667,-2.8833,82.11,65,99,8.5,BF,1690335528
4,hermanus,-34.4187,19.2345,46.8,54,93,3.74,ZA,1690335528
5,praia da vitoria,38.7333,-27.0667,71.85,88,75,9.22,PT,1690335528
6,port elizabeth,-33.918,25.5701,43.09,81,0,3.44,ZA,1690335529
7,bilibino,68.0546,166.4372,51.39,93,100,2.51,RU,1690335529
8,klyuchi,52.2667,79.1667,75.69,40,8,4.25,RU,1690335529
9,fort mcmurray,56.7268,-111.381,69.39,77,40,3.44,CA,1690335372
10,pinarbasi,38.7229,36.3931,52.39,84,0,2.39,TR,1690335530
11,blackmans bay,-43.0167,147.3167,58.73,62,100,6.93,AU,1690335530
12,adamstown,-25.066,-130.1015,73.76,80,100,38.07,PN,1690335530
13,afif,23.9065,42.9172,81.0,19,100,10.87,SA,1690335530
14,tura,25.5198,90.2201,78.98,91,100,6.4,IN,1690335531
15,papatowai,-46.5619,169.4708,45.82,76,52,12.95,NZ,1690335531
16,invercargill,-46.4,168.35,47.03,72,85,11.7,NZ,1690335531
17,iqaluit,63.7506,-68.5145,44.33,87,100,2.3,CA,1690335531
18,nili,33.7218,66.1302,73.56,40,52,2.39,AF,1690335531
19,sinop,41.7711,34.8709,61.86,69,0,7.83,TR,1690335531
20,mount gambier,-37.8333,140.7667,55.15,64,100,6.26,AU,1690335531
21,charters towers,-20.1,146.2667,71.1,55,63,21.63,AU,1690335532
22,zeya,53.75,127.2667,70.03,65,100,2.68,RU,1690335532
23,altpinar,39.2042,32.7478,64.45,36,0,2.35,TR,1690335532
24,svyetlahorsk,52.6329,29.7389,63.7,99,100,3.15,BY,1690335532
25,atafu village,-8.5421,-172.5159,83.93,71,6,17.56,TK,1690335532
26,ushuaia,-54.8,-68.3,33.46,69,100,5.75,AR,1690335425
27,puerto ayora,-0.7393,-90.3518,75.54,97,43,5.01,EC,1690335533
28,waitangi,-43.9535,-176.5597,49.82,97,100,1.99,NZ,1690335533
29,taganrog,47.2362,38.8969,69.82,68,0,1.95,RU,1690335533
30,georgetown,5.4112,100.3354,85.95,87,20,3.44,MY,1690335264
31,yanam,16.7333,82.2167,75.63,96,100,13.67,IN,1690335533
32,fale old settlement,-9.3852,-171.2468,83.61,73,6,16.75,TK,1690335269
33,yellowknife,62.456,-114.3525,77.56,25,75,20.71,CA,1690335427
34,jamestown,42.097,-79.2353,71.19,94,20,4.61,US,1690335533
35,nizhnyaya tavda,57.6731,66.1725,61.5,84,97,7.27,RU,1690335534
36,mashhad,36.297,59.6062,71.74,43,0,4.61,IR,1690335534
37,toyohashi,34.7667,137.3833,91.87,50,95,8.01,JP,1690335534
38,lewistown,40.5992,-77.5714,73.62,83,0,0.0,US,1690335334
39,yemetsk,63.4721,41.7941,55.45,91,76,3.71,RU,1690335534
40,nchelenge,-9.3451,28.734,63.32,51,62,3.56,ZM,1690335534
41,pizarro,4.9533,-77.366,78.1,90,100,6.85,CO,1690335535
42,isafjordur,66.0755,-23.124,43.25,83,69,8.48,IS,1690335535
43,ancud,-41.8697,-73.8203,46.06,82,35,3.22,CL,1690335535
44,saudarkrokur,65.7461,-19.6394,43.29,92,60,3.6,IS,1690335297
45,olonkinbyen,70.9221,-8.7187,41.86,85,100,8.72,SJ,1690335535
46,puerto natales,-51.7236,-72.4875,28.74,90,87,5.7,CL,1690335535
47,ubari,26.5921,12.7805,88.7,13,4,8.41,LY,1690335536
48,al bawiti,28.3492,28.8659,77.85,62,4,8.32,EG,1690335536
49,aykhal,66.0,111.5,62.02,65,100,12.39,RU,1690335536
50,pacocha,-17.5833,-71.3333,61.7,88,33,4.81,PE,1690335537
51,ilulissat,69.2167,-51.1,37.42,100,100,5.75,GL,1690335537
52,constantia,44.1833,28.65,74.08,74,3,23.67,RO,1690335537
53,madang,-5.2246,145.7966,78.01,89,99,1.19,PG,1690335537
54,west island,-12.1568,96.8225,76.98,73,40,20.71,CC,1690335464
55,qaqortoq,60.7167,-46.0333,42.58,91,87,2.89,GL,1690335537
56,lebu,-37.6167,-73.65,48.74,84,9,1.16,CL,1690335538
57,gonzales,30.2385,-90.9201,87.1,70,0,0.0,US,1690335494
58,paea,-17.6833,-149.5833,82.11,78,75,11.5,PF,1690335538
59,grytviken,-54.2811,-36.5092,26.58,84,76,9.31,GS,1690335538
60,st. john's,47.5649,-52.7093,66.27,89,20,8.05,CA,1690335395
61,west plains,36.7281,-91.8524,86.83,73,0,5.99,US,1690335539
62,bethel,41.3712,-73.414,68.36,89,92,3.22,US,1690335345
63,midvagur,62.0511,-7.1939,49.03,87,75,9.22,FO,1690335539
64,pechora,65.1472,57.2244,62.31,85,85,0.13,RU,1690335539
65,bonthe,7.5264,-12.505,75.34,93,100,2.15,SL,1690335539
66,san patricio,28.017,-97.5169,88.18,67,0,12.68,US,1690335539
67,ayvacik,39.6011,26.4047,76.87,42,0,5.39,TR,1690335540
68,kapa'a,22.0752,-159.319,86.32,75,20,16.11,US,1690335540
69,port mathurin,-19.6833,63.4167,73.83,78,37,15.17,MU,1690335540
70,sisimiut,66.9395,-53.6735,42.84,89,44,7.63,GL,1690335540
71,raja,8.4596,25.678,70.3,98,100,6.38,SS,1690335540
72,petawawa,45.9001,-77.3328,67.59,83,75,5.75,CA,1690335540
73,edinburgh of the seven seas,-37.0676,-12.3116,52.27,55,100,20.6,SH,1690335540
74,banda aceh,5.5577,95.3222,84.36,65,99,11.88,ID,1690335280
75,kismayo,-0.3582,42.5454,75.85,80,42,14.92,SO,1690335541
76,port lincoln,-34.7333,135.8667,59.43,53,0,9.98,AU,1690335541
77,bandarbeyla,9.4942,50.8122,75.42,77,58,28.34,SO,1690335541
78,keflavik,64.0049,-22.5624,55.31,87,100,11.5,IS,1690335541
79,tabou,4.423,-7.3528,75.76,91,100,6.89,CI,1690335542
80,porangatu,-13.4408,-49.1486,78.84,34,97,2.42,BR,1690335542
81,saint-pierre,-21.3393,55.4781,67.68,77,20,6.91,RE,1690335542
82,smithers,54.7804,-127.1743,64.72,72,75,2.3,CA,1690335542
83,neryungri,56.6709,124.6491,74.23,58,17,2.71,RU,1690335542
84,tiksi,71.6872,128.8694,40.86,80,98,7.34,RU,1690335543
85,bredasdorp,-34.5322,20.0403,46.99,69,94,3.62,ZA,1690335544
86,courtenay,49.6866,-124.9936,66.13,63,75,9.22,CA,1690335545
87,pangody,65.85,74.4859,69.75,62,97,14.43,RU,1690335545
88,coahuayana de hidalgo,18.7,-103.6583,81.43,82,100,1.48,MX,1690335546
89,khowy,38.5503,44.9521,66.83,70,0,1.48,IR,1690335546
90,akureyri,65.6835,-18.0878,48.13,81,100,8.05,IS,1690335546
91,rongelap,11.1635,166.8941,83.37,74,100,15.97,MH,1690335547
92,mossel bay,-34.1831,22.146,55.11,61,11,0.78,ZA,1690335547
93,recani,31.2846,-4.2688,90.86,15,0,13.35,MA,1690335547
94,cole harbour,44.6724,-63.4751,69.28,84,1,17.27,CA,1690335548
95,sinabang,2.4803,96.3801,81.75,80,32,3.38,ID,1690335250
96,iskateley,67.6803,53.1512,62.64,74,48,4.16,RU,1690335548
97,acapulco de juarez,16.8634,-99.8901,85.82,70,100,10.36,MX,1690335302
98,myanaung,18.2833,95.3167,84.72,71,38,6.6,MM,1690335549
99,happy valley-goose bay,53.3168,-60.3315,66.51,88,75,5.75,CA,1690335549
100,saint-philippe,-21.3585,55.7679,67.59,78,1,6.71,RE,1690335549
101,ivdel',60.6911,60.4206,62.15,75,8,2.35,RU,1690335550
102,kodiak,57.79,-152.4072,62.11,72,0,11.5,US,1690335550
103,hamilton,39.1834,-84.5333,80.44,71,0,4.61,US,1690335550
104,sitka,57.0531,-135.33,62.49,77,100,4.61,US,1690335550
105,buhe,30.2876,112.2298,84.78,71,82,3.06,CN,1690335551
106,laurel,39.0993,-76.8483,78.73,79,75,8.05,US,1690335551
107,petropavlovsk-kamchatsky,53.0452,158.6483,73.78,60,20,6.71,RU,1690335551
108,saint-francois,46.4154,3.9054,53.04,94,0,2.3,FR,1690335403
109,ta`u,-14.2336,-169.5144,77.86,69,100,8.14,AS,1690335552
110,boguchany,58.3814,97.4531,70.84,67,100,3.33,RU,1690335552
111,flying fish cove,-10.4217,105.6791,76.68,88,100,10.36,CX,1690335552
112,hobyo,5.3505,48.5268,76.46,83,59,23.96,SO,1690335552
113,whitehorse,60.7161,-135.0538,70.57,56,100,11.5,CA,1690335552
114,sogndal,61.2283,7.1003,55.78,100,100,0.0,NO,1690335553
115,punta del este,-34.9667,-54.95,55.51,91,100,10.0,UY,1690335553
116,tadine,-21.55,167.8833,69.89,55,85,19.55,NC,1690335553
